Name,Description,Image,level,hp,type,Basedmg
,,,,,,
Шкаф,"(pass): (spike)1<br>","images\cover\closet.png",M,6,C,1
Пульверизатор,"(do): (dmg)4-(номер позиции)<br>","images\cover\pulverizer.png",W,4,C,0
Ящик инструментов,"(do): (dice): 1-3: Нанести (dmg)3<br>4-6: Вылечить самого повреждённого союзника на (hp)3<br>","images\cover\toolbox.png",M,7,R,0
Бочка,"(do): (dmg)(номер позиции), переметиться на (1)<br>","images\cover\barrel.png",M,9,C,2
,"(do): (dice): 1-5:Уничтожить надетый предмет противника <br>6: Следующий союзник получивший смертельный(dmg) не получает его<br>","images\cover\",S,12,C,2
Копейщик,"(do): (poison)1<br>","images\cover\",W,5,C,1
Гремлин,"(do): (stun)1<br>","images\cover\",W,2,C,1
Гаргулья,"(do): (arm)2<br>","images\cover\",W,4,C,1
Каменный голем,"(pass): Отменить первый эффект противника<br>","images\cover\",W,6,C,1
Холодильник,"(do): (freeze), повторить удар в следующего противника<br>","images\cover\",M,5,C,1
Джин,"(do): (dice) 1-4: Дать (arm)3 для 3х союзников<br>5-6: Повторить эффект 3х разных союзных (weak)<br>","images\cover\",M,8,R,0
Нага,"(do): Нанести моим соседям (dmg)1<br>","images\cover\",M,5,R,3
Гигант,"(do): На меня не действуют никакие эффекты кроме урона<br>","images\cover\",S,15,A,1
Лучник,"(do): (dmg)(номер позиции)<br>","images\cover\",W,2,R,0
Бес,"(do): (stun) врагу и перезарядить союзника<br>","images\cover\",M,4,R,1
Чёрт,"","images\cover\",W,1,A,1
Адский пёс,"(do): (dice) 1-3: Нанести (dmg)Количество полученного урона<br> 4-6: Нанести себе (dmg)1<br>","images\cover\",W,5,C,0
Демон,"(do): (poison)1<br>","images\cover\",W,4,C,0
Обитатель бездны,"(do): Исцелить самого повреждённого союзника на (hp)2<br>(pass): После смерти оставляет на своём месте (weak)<br>","images\cover\",M,8,R,1
Ифрит,"(pass): (spike)2<br>","images\cover\",M,8,C,2
Дьявол,"(pass): (spike)2<br>Когда союзник получает (dmg), вместо этого нанести этот (dmg) мне<br>","images\cover\",S,15,C,5
Киска,"(do): (dmg)3 мне<br>","images\cover\",W,3,A,3
Сушняк,"(pass): У врагов (dmg)-1<br>","images\cover\",M,5,R,1
Принцесса-убийца,"(do): Призвать (weak) впереди себя<br>","images\cover\",S,10,R,3
Ваншотящий комар,"(do): Нанести (dmg)5 себе<br>","images\cover\",M,2,R,9
Маньяк,"(pass): (mad)<br>","images\cover\",S,10,A,2
Ужас глубин,"(do): (dmg)-1 цели<br>(pass): Игнорирует (arm)<br>","images\cover\",S,9,C,4
Гадалка,"(do): (dmg)(dice)<br>","images\cover\",S,12,R,0
Проклятье,"(do): Получает (arm)2<br>(pass): Выкладывается на последнюю позицию<br> наносит (dmg)1 врагам совершающим (do)<br>","images\cover\",S,5,R,0
Лава монстр,"(pass): Уничтожить меня вместо (harm) союзника<br>","images\cover\",W,4,C,2
Многорукий многоног,"(do): (dmg)2 всем вражеским людям даже вне боя, ухожу на дно колоды<br>","images\cover\",M,5,A,0
Девочка краб,"(do): (dmg)количество монстров на столе<br>","images\cover\",S,9,R,0
Братан,"(do): Уничтожить вражеского (strong) чтобы уничтожить меня<br>(pass): (dmg)+1 союзникам слева и справа от себя<br>","images\cover\",M,6,R,1
Осьминог,"(do): (dmg)1 соседям цели<br>","images\cover\",M,8,R,2
